sentence_id|generated_sentence|language
LJ001-0001|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition|English
LJ001-0002|in being comparatively modern.|English
LJ001-0003|For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process|English
LJ001-0004|produced the block books, which were the immediate predecessors of the true printed book,|English
LJ001-0005|the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.|English
LJ001-0006|And it is worth mention in passing that, as an example of fine typography,|English
LJ001-0007|"the earliest book printed with movable types, the Gutenberg, or ""forty-two line Bible"" of about fourteen fifty-five,"|English
LJ001-0008|has never been surpassed.|English
LJ001-0009|Printing, then, for our purpose, may be considered as the art of making books by means of movable types.|English
LJ001-0010|Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,|English
LJ001-0011|it is of the first importance that the letter used should be fine in form;|English
LJ001-0012|especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters|English
LJ001-0013|than in the same operations with ugly ones.|English
LJ001-0014|And it was a matter of course that in the Middle Ages, when the craftsmen took care that beautiful form should always be a part of their productions whatever they were,|English
LJ001-0015|the forms of printed letters should be beautiful, and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves.|English
LJ001-0016|The Middle Ages brought calligraphy to perfection, and it was natural therefore|English
LJ001-0017|that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.|English
LJ001-0018|The first books were printed in black letter, i.e. the letter which was a Gothic development of the ancient Roman character,|English
LJ001-0019|"and which developed more completely and satisfactorily on the side of the ""lower-case"" than the capital letters;"|English
LJ001-0020|"the ""lower-case"" being in fact invented in the early Middle Ages."|English
LJ001-0021|The earliest book printed with movable type, the aforesaid Gutenberg Bible, is printed in letters which are an exact imitation|English
LJ001-0022|"of the more formal ecclesiastical writing which obtained at that time; this has since been called ""missal type,"""|English
LJ001-0023|and was in fact the kind of letter used in the many splendid missals, psalters, etc., produced by printing in the fifteenth century.|English
LJ001-0024|But the first Bible actually dated (which also was printed at Maintz by Peter Schoeffer in the year fourteen sixty-two)|English
LJ001-0025|imitates a much freer hand, simpler, rounder, and less spiky, and therefore far pleasanter and easier to read.|English
LJ001-0026|On the whole the type of this book may be considered the ne-plus-ultra of Gothic type,|English
LJ001-0027|especially as regards the lower-case letters; and type very similar was used during the next fifteen or twenty years not only by Schoeffer,|English
LJ001-0028|but by printers in Strasburg, Basle, Paris, Lubeck, and other cities.|English
LJ001-0029|But though on the whole, except in Italy, Gothic letter was most often used|English
LJ001-0030|a very few years saw the birth of Roman character not only in Italy, but in Germany and France.|English
LJ001-0031|In fourteen sixty-five Sweynheim and Pannartz began printing in the monastery of Subiaco near Rome,|English
LJ001-0032|and used an exceedingly beautiful type, which is indeed to look at a transition between Gothic and Roman,|English
LJ001-0033|but which must certainly have come from the study of the twelfth or even the eleventh century MSS.|English
LJ001-0034|They printed very few books in this type, three only; but in their very first books in Rome, beginning with the year fourteen sixty-eight,|English
LJ001-0035|they discarded this for a more completely Roman and far less beautiful letter.|English
LJ001-0036|But about the same year Mentelin at Strasburg began to print in a type which is distinctly Roman;|English
LJ001-0037|and the next year Gunther Zeiner at Augsburg followed suit;|English
